State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Rice,2002-03,Rabi,382,Hectare,839,Tonnes,2.196335079
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Rice,2003-04,Kharif,13314,Hectare,26761,Tonnes,2.009989485
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Rice,2003-04,Rabi,583,Hectare,1172,Tonnes,2.010291595
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Sannhamp,2001-02,Kharif,10,Hectare,6,Tonnes,0.6
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Sannhamp,2002-03,Kharif,24,Hectare,14,Tonnes,0.583333333
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Sannhamp,2003-04,Kharif,12,Hectare,7,Tonnes,0.583333333
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Small millets,2001-02,Kharif,185,Hectare,215,Tonnes,1.162162162
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Small millets,2002-03,Kharif,193,Hectare,224,Tonnes,1.160621762
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Small millets,2003-04,Kharif,250,Hectare,220,Tonnes,0.88
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Sugarcane,2001-02,Winter,1273,Hectare,89110,Tonnes,70
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Sugarcane,2002-03,Winter,1537,Hectare,122960,Tonnes,80
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Sugarcane,2003-04,Winter,1285,Hectare,96375,Tonnes,75
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Wheat,2001-02,Winter,735,Hectare,1441,Tonnes,1.960544218
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Wheat,2002-03,Winter,750,Hectare,1470,Tonnes,1.96
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,Wheat,2003-04,Winter,750,Hectare,1470,Tonnes,1.96
Daman and Diu,Daman and Diu,Bajra,2001-02,Kharif,280,Hectare,218,Tonnes,0.778571429
Daman and Diu,Daman and Diu,Bajra,2002-03,Kharif,280,Hectare,216,Tonnes,0.771428571
Daman and Diu,Daman and Diu,Bajra,2003-04,Kharif,280,Hectare,731,Tonnes,2.610714286
Daman and Diu,Daman and Diu,Rice,2001-02,Kharif,2000,Hectare,1501,Tonnes,0.7505
Daman and Diu,Daman and Diu,Rice,2002-03,Kharif,2000,Hectare,2253,Tonnes,1.1265
Daman and Diu,Daman and Diu,Rice,2003-04,Kharif,2000,Hectare,2519,Tonnes,1.2595
Delhi,Delhi,Arhar/Tur,2003-04,Kharif,134,Hectare,189,Tonnes,1.410447761
Delhi,Delhi,Bajra,2001-02,Kharif,2632,Hectare,5140,Tonnes,1.952887538
Delhi,Delhi,Bajra,2002-03,Kharif,1552,Hectare,2804,Tonnes,1.806701031
Delhi,Delhi,Bajra,2003-04,Kharif,2334,Hectare,3762,Tonnes,1.611825193
Delhi,Delhi,Barley,2001-02,Kharif,122,Hectare,60,Tonnes,0.491803279
Delhi,Delhi,Barley,2002-03,Kharif,85,Hectare,41,Tonnes,0.482352941
Delhi,Delhi,Barley,2003-04,Kharif,86,Hectare,255,Tonnes,2.965116279
Delhi,Delhi,Cotton(lint),2001-02,Kharif,1,Hectare,1,Bales,1
Delhi,Delhi,Cotton(lint),2002-03,Kharif,1,Hectare,1,Bales,1
Delhi,Delhi,Gram,2001-02,Rabi,51,Hectare,8,Tonnes,0.156862745
Delhi,Delhi,Gram,2002-03,Rabi,73,Hectare,16,Tonnes,0.219178082
Delhi,Delhi,Gram,2003-04,Rabi,42,Hectare,64,Tonnes,1.523809524
Delhi,Delhi,Jowar,2001-02,Kharif,8627,Hectare,8140,Tonnes,0.943549322
